Name_Orig,Lat_Orig,Lng_Orig,Name_Des,Lat_Des,Lng_Des
"Columbus, OH",39.961,-82.999,"Orlando, FL",28.538,-81.379
"Orlando, FL",28.538,-81.379,"Port Orange, FL",29.138,-80.995
"Port Orange, FL",29.138,-80.995,KSC,28.573,-80.649
KSC,28.573,-80.649,"Orlando, FL",28.538,-81.379
"Columbus, OH",39.961,-82.999,"Phoenix, AZ",33.448,-112.074
"Columbus, OH",39.961,-82.999,"Las Vegas, NV",36.17,-115.14
"Las Vegas, NV",36.17,-115.14,"San Francisco, CA",37.775,-122.419
"San Francisco, CA",37.775,-122.419,"Paso Robles, CA",35.64,-120.66
"Paso Robles, CA",35.64,-120.66,"Columbus, OH",39.961,-82.999
"Columbus, OH",39.961,-82.999,"Orlando, FL",28.538,-81.379
"Columbus, OH",39.961,-82.999,"Denver, CO",39.739,-104.99
"Columbus, OH",39.961,-82.999,"Stavanger, Norway",58.97,5.7331
"Stavanger, Norway",58.97,5.7331,"Dublin, Ireland",53.35,-6.26
"Dublin, Ireland",53.35,-6.26,"Columbus, OH",39.961,-82.999
"Columbus, OH",39.961,-82.999,"Dublin, Ireland",53.35,-6.26
"Dublin, Ireland",53.35,-6.26,"Shannon, Ireland",52.713,-8.873
"Shannon, Ireland",52.713,-8.873,"Columbus, OH",39.961,-82.999
