Baby,Time,Start Side,Left duration,Right duration,Total Duration,Note
Bab1,"8/1/18, 2:14 AM",Left,13,9,0,
Bab1,"8/1/18, 5:01 AM",Right,7,13,0,
Bab1,"8/1/18, 7:57 AM",Left,9,5,0,
Bab1,"8/1/18, 10:30 AM",Right,11,13,0,
Bab1,"8/1/18, 1:14 PM",Left,9,11,0,
Bab1,"8/1/18, 3:33 PM",Right,13,11,0,
Bab1,"8/1/18, 5:59 PM",Left,15,9,0,
Bab1,"8/1/18, 8:15 PM",Right,0,10,0,
Bab1,"8/1/18, 9:37 PM",Left,10,10,0,
Bab1,"8/2/18, 1:24 AM",Right,11,15,0,
Bab1,"8/2/18, 4:10 AM",Left,11,10,0,
Bab1,"8/2/18, 7:44 AM",Right,11,10,0,
Bab1,"8/2/18, 10:23 AM",Left,12,13,0,
Bab1,"8/2/18, 1:05 PM",Right,8,13,0,
Bab1,"8/2/18, 3:45 PM",Left,11,10,0,
Bab1,"8/2/18, 6:18 PM",Right,7,8,0,
Bab1,"8/2/18, 8:23 PM",Left,11,9,0,
Bab1,"8/2/18, 9:54 PM",Right,2,3,0,
Bab1,"8/3/18, 12:29 AM",Right,9,6,0,
Bab1,"8/3/18, 4:02 AM",Left,9,10,0,
Bab1,"8/3/18, 6:41 AM",Right,6,10,0,
Bab1,"8/3/18, 9:42 AM",Left,12,7,0,
Bab1,"8/3/18, 12:21 PM",Right,9,10,0,
Bab1,"8/3/18, 3:17 PM",Left,8,7,0,
Bab1,"8/3/18, 5:55 PM",Right,12,12,0,
Bab1,"8/3/18, 8:12 PM",Left,9,7,0,
Bab1,"8/3/18, 9:44 PM",Right,5,11,0,
Bab1,"8/4/18, 12:05 AM",Left,3,6,0,
Bab1,"8/4/18, 3:22 AM",Right,7,14,0,
Bab1,"8/4/18, 6:53 AM",Right,8,11,0,
Bab1,"8/4/18, 9:40 AM",Left,10,10,0,
Bab1,"8/4/18, 12:17 PM",Right,9,8,0,
Bab1,"8/4/18, 3:08 PM",Left,14,7,0,
Bab1,"8/4/18, 5:53 PM",Right,8,13,0,
Bab1,"8/4/18, 8:19 PM",Left,11,8,0,
Bab1,"8/4/18, 9:56 PM",Right,7,11,0,
Bab1,"8/5/18, 12:53 AM",Left,13,8,0,
Bab1,"8/5/18, 4:29 AM",Right,8,13,0,
Bab1,"8/5/18, 7:12 AM",Left,11,8,0,
Bab1,"8/5/18, 9:51 AM",Right,8,13,0,
Bab1,"8/5/18, 12:32 PM",Left,20,8,0,
Bab1,"8/5/18, 2:59 PM",Right,6,13,0,
Bab1,"8/5/18, 6:04 PM",Left,11,6,0,
Bab1,"8/5/18, 7:54 PM",Right,5,9,0,
Bab1,"8/5/18, 8:53 PM",Left,6,6,0,
Bab1,"8/6/18, 12:35 AM",Right,7,9,0,
Bab1,"8/6/18, 4:20 AM",Left,11,4,0,
Bab1,"8/6/18, 6:55 AM",Right,12,11,0,
Bab1,"8/6/18, 8:50 AM",Left,11,10,0,
Bab1,"8/6/18, 11:05 AM",Right,9,8,0,
