Baby,Time,Duration(minutes),Note
Baby1,"8/1/18, 12:38 AM",92,
Baby1,"8/1/18, 3:11 AM",108,
Baby1,"8/1/18, 5:44 AM",131,
Baby1,"8/1/18, 9:05 AM",83,
Baby1,"8/1/18, 11:16 AM",109,
Baby1,"8/1/18, 2:10 PM",79,
Baby1,"8/1/18, 4:30 PM",87,
Baby1,"8/1/18, 6:47 PM",73,
Baby1,"8/1/18, 10:12 PM",187,
Baby1,"8/2/18, 2:30 AM",97,
Baby1,"8/2/18, 4:51 AM",174,
Baby1,"8/2/18, 8:10 AM",128,
Baby1,"8/2/18, 11:08 AM",167,
Baby1,"8/2/18, 2:34 PM",31,
Baby1,"8/2/18, 3:11 PM",32,
Baby1,"8/2/18, 5:14 PM",56,
Baby1,"8/2/18, 6:45 PM",88,
Baby1,"8/2/18, 10:36 PM",105,
Baby1,"8/3/18, 1:08 AM",152,
Baby1,"8/3/18, 4:38 AM",119,
Baby1,"8/3/18, 8:21 AM",76,
Baby1,"8/3/18, 10:17 AM",128,
Baby1,"8/3/18, 12:50 PM",49,
Baby1,"8/3/18, 2:15 PM",45,
Baby1,"8/3/18, 3:45 PM",113,
Baby1,"8/3/18, 6:31 PM",94,
Baby1,"8/3/18, 10:10 PM",99,
Baby1,"8/4/18, 12:24 AM",165,
Baby1,"8/4/18, 4:00 AM",172,
Baby1,"8/4/18, 8:14 AM",84,
Baby1,"8/4/18, 10:35 AM",97,
Baby1,"8/4/18, 12:50 PM",119,
Baby1,"8/4/18, 4:38 PM",72,
Baby1,"8/4/18, 6:29 PM",106,
Baby1,"8/4/18, 10:25 PM",142,
Baby1,"8/5/18, 1:25 AM",179,
Baby1,"8/5/18, 5:18 AM",108,
Baby1,"8/5/18, 7:54 AM",115,
Baby1,"8/5/18, 11:30 AM",61,
Baby1,"8/5/18, 2:04 PM",53,
Baby1,"8/5/18, 3:30 PM",79,
Baby1,"8/5/18, 5:05 PM",57,
Baby1,"8/5/18, 9:16 PM",191,
Baby1,"8/6/18, 1:00 AM",198,
Baby1,"8/6/18, 4:56 AM",114,
Baby1,"8/6/18, 7:32 AM",73,
Baby1,"8/6/18, 9:30 AM",84,
Baby1,"8/6/18, 11:40 AM",99,
Baby1,"8/6/18, 2:59 PM",94,
Baby1,"8/6/18, 5:55 PM",49,
Baby1,"8/6/18, 7:08 PM",22,
Baby1,"8/6/18, 10:07 PM",135,
Baby1,"8/7/18, 12:51 AM",207,
Baby1,"8/7/18, 4:50 AM",105,
Baby1,"8/7/18, 7:05 AM",85,
Baby1,"8/7/18, 9:02 AM",23,
Baby1,"8/7/18, 10:15 AM",54,
Baby1,"8/7/18, 12:26 PM",64,
Baby1,"8/7/18, 2:11 PM",101,
Baby1,"8/7/18, 4:44 PM",76,
Baby1,"8/7/18, 6:50 PM",94,
Baby1,"8/7/18, 10:33 PM",127,
Baby1,"8/8/18, 1:10 AM",130,
Baby1,"8/8/18, 4:04 AM",181,
Baby1,"8/8/18, 7:40 AM",107,
Baby1,"8/8/18, 11:04 AM",44,
Baby1,"8/8/18, 12:27 PM",87,
Baby1,"8/8/18, 2:29 PM",30,
Baby1,"8/8/18, 3:30 PM",32,
Baby1,"8/8/18, 4:46 PM",99,
Baby1,"8/8/18, 6:54 PM",86,
Baby1,"8/8/18, 10:58 PM",112,
Baby1,"8/9/18, 1:17 AM",130,
Baby1,"8/9/18, 4:00 AM",140,
Baby1,"8/9/18, 6:40 AM",109,
Baby1,"8/9/18, 9:54 AM",69,
Baby1,"8/9/18, 11:35 AM",101,
Baby1,"8/9/18, 2:12 PM",75,
Baby1,"8/9/18, 3:55 PM",84,
