State,States Visited,13 Original Colonies
Alabama,Yes,No
Alaska,No,No
Arizona,Yes,No
Arkansas,Yes,No
California,Yes,No
Colorado,Yes,No
Connecticut,Yes,Yes
Delaware,No,Yes
District of Columbia,Yes,No
Florida,Yes,No
Georgia,Yes,Yes
Hawaii,No,No
Idaho,Yes,No
Illinois,Yes,No
Indiana,Yes,No
Iowa,No,No
Kansas,Yes,No
Kentucky,Yes,No
Louisiana,No,No
Maine,No,No
Maryland,Yes,Yes
Massachusetts,Yes,Yes
Michigan,Yes,No
Minnesota,No,No
Mississippi,No,No
Missouri,Yes,No
Montana,Yes,No
Nebraska,Yes,No
Nevada,Yes,No
New Hampshire,No,Yes
New Jersey,Yes,Yes
New Mexico,Yes,No
New York,Yes,Yes
North Carolina,No,Yes
North Dakota,No,No
Ohio,Yes,No
Oklahoma,Yes,No
Oregon,Yes,No
Pennsylvania,Yes,Yes
Rhode Island,No,Yes
South Carolina,Yes,Yes
South Dakota,Yes,No
Tennessee,Yes,No
Texas,Yes,No
Utah,Yes,No
Vermont,No,No
Virginia,Yes,Yes
Washington,Yes,No
West Virginia,No,No
Wisconsin,Yes,No
Wyoming,Yes,No
